time(UTC),error,lowalarm,highalarm,Accumulated Real Energy Net (kWh),"Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)",Reactive Energy Quadrant 1 (VARh),Reactive Energy Quadrant 2 (VARh),Reactive Energy Quadrant 3 (VARh),Reactive Energy Quadrant 4 (VARh),Apparent Energy Net (VAh),Apparent Energy Quadrants 1 & 4 (VAh),Apparent Energy Quadrants 2 & 3 (VAh),Total Net Instantaneous Real Power (kW),Total Net Instantaneous Reactive Power (kVAR),Total Net Instantaneous Apparent Power (kVA),Total Power Factor,"Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)",Frequency (Hz),Total Real Power Present Demand (kW),Total Reactive Power Present Demand (kVAR),Total Apparent Power Present Demand (kVA),"Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
9/11/2023 13:30,0,0,0,349767.59,349794.75,27.16,18920.19,2516.56,0.43,12234.2,367402.09,367832.91,430.82,0.68,-0.05,0.68,1,344.79,185.03,1.51,60.02,0.38,0.03,0.4,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.17,147097.47,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.92,872.52,150651.88,154691,60485.52,241.17,83.94,2197.47,0.31,0.37,0,0.01,-0.05,0,0.31,0.37,0,1,0.99,1,479.37,277.6,277.39,277.33,277.62,0.15,2.29,2.21,0.04
9/11/2023 13:45,0,0,0,349767.78,349794.94,27.16,18920.19,2516.56,0.43,12234.21,367402.28,367833.09,430.82,0.76,-0.06,0.76,1,344.39,184.86,1.61,60.01,0.7,-0.05,0.7,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.27,147097.56,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.93,872.52,150651.95,154691.09,60485.52,241.17,83.94,2197.47,0.35,0.41,0,-0.01,-0.05,0,0.35,0.41,0,1,0.99,1,478.74,277.25,276.8,276.76,277.25,0.15,2.45,2.34,0.04
9/11/2023 14:00,0,0,0,349767.97,349795.13,27.16,18920.19,2516.56,0.43,12234.23,367402.53,367833.34,430.82,1.17,-0.12,1.17,1,344.09,184.66,1.96,59.88,0.79,-0.06,0.79,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.36,147097.69,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.77,5372.95,872.52,150652.08,154691.22,60485.52,241.17,83.94,2197.47,0.54,0.62,0,-0.03,-0.08,0,0.54,0.63,0,1,0.99,1,478.41,277.13,276.73,276.68,277.14,0.15,2.92,2.93,0.05
9/11/2023 14:15,0,0,0,349768.38,349795.53,27.16,18920.19,2516.56,0.43,12234.27,367402.91,367833.72,430.82,1.77,-0.15,1.78,1,346.6,186.02,2.59,59.94,1.34,-0.12,1.34,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.53,147097.89,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.78,5372.97,872.52,150652.25,154691.44,60485.52,241.17,83.94,2197.47,0.82,0.95,0,-0.04,-0.11,0,0.82,0.96,0,1,0.99,1,481.86,279.28,278.66,278.61,279.29,0.15,3.76,3.96,0.06
9/11/2023 14:30,0,0,0,349768.88,349796.03,27.16,18920.19,2516.56,0.43,12234.31,367403.38,367834.19,430.82,2.15,-0.18,2.15,1,346.8,186.13,2.99,60.01,1.83,-0.16,1.84,28.67,0.52,28.67,-15.96,-1.61,15.96,144086.77,147098.16,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.79,5373,872.52,150652.47,154691.7,60485.52,241.17,83.94,2197.47,0.99,1.16,0,-0.05,-0.13,0,0.99,1.16,0,1,0.99,1,482.15,279.24,279.03,278.97,279.26,0.15,4.28,4.62,0.06
9/11/2023 14:45,0,0,0,349769.44,349796.59,27.16,18920.19,2516.56,0.43,12234.35,367403.97,367834.78,430.82,2.33,-0.2,2.34,1,346.29,185.85,3.21,60.01,2.19,-0.18,2.19,28.67,0.52,28.67,-15.96,-1.61,15.96,144087.03,147098.45,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.8,5373.04,872.52,150652.73,154692,60485.52,241.17,83.94,2197.47,1.08,1.26,0,-0.06,-0.14,0,1.08,1.26,0,1,0.99,1,481.63,279.31,278.48,278.44,279.32,0.15,4.59,4.99,0.07
9/11/2023 15:00,0,0,0,349770.03,349797.19,27.16,18920.19,2516.56,0.43,12234.41,367404.56,367835.38,430.82,2.58,-0.21,2.59,1,346.87,186.17,3.51,60.01,2.38,-0.2,2.38,28.67,0.52,28.67,-15.96,-1.61,15.96,144087.3,147098.8,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.82,5373.07,872.52,150653.02,154692.33,60485.52,241.17,83.94,2197.47,1.19,1.39,0,-0.06,-0.15,0,1.19,1.4,0,1,0.99,1,482.2,279.57,278.84,278.79,279.57,0.15,5,5.47,0.07
9/11/2023 15:15,0,0,0,349770.84,349798,27.16,18920.19,2516.56,0.43,12234.47,367405.38,367836.19,430.82,4.64,-0.35,4.65,1,347.21,186.36,5.87,60.02,2.8,-0.22,2.81,28.67,0.52,28.67,-15.96,-1.61,15.96,144087.69,147099.22,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.83,5373.12,872.52,150653.39,154692.77,60485.52,241.17,83.94,2197.47,2.13,2.51,0,-0.11,-0.23,0,2.13,2.52,0,1,1,1,482.68,280.01,278.95,278.91,280.03,0.15,8.16,9.34,0.11
9/11/2023 15:30,0,0,0,349771.94,349799.09,27.16,18920.19,2516.56,0.43,12234.55,367406.44,367837.25,430.82,3.83,-0.28,3.84,1,346.75,186.18,4.92,60.02,4.18,-0.33,4.2,28.67,0.52,28.67,-15.96,-1.61,15.96,144088.19,147099.8,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.86,5373.18,872.52,150653.88,154693.34,60485.52,241.17,83.94,2197.47,1.78,2.07,0,-0.09,-0.23,0,1.76,2.07,0,1,0.99,1,481.83,279.58,278.84,278.79,279.6,0.15,6.87,7.79,0.1
9/11/2023 15:45,0,0,0,349772.75,349799.91,27.16,18920.19,2516.56,0.43,12234.62,367407.31,367838.13,430.82,4.57,-0.35,4.58,1,347.19,186.37,5.79,60.01,3.53,-0.27,3.55,28.67,0.52,28.67,-15.96,-1.61,15.96,144088.58,147100.27,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.88,5373.22,872.52,150654.28,154693.81,60485.52,241.17,83.94,2197.47,2.12,2.45,0,-0.12,-0.23,0,2.12,2.46,0,1,1,1,482.55,279.97,279.04,279,279.97,0.15,8.14,9.13,0.11
9/11/2023 16:00,0,0,0,349774.28,349801.44,27.16,18920.19,2516.56,0.43,12234.76,367408.81,367839.63,430.82,6.93,-0.65,6.96,1,347.47,186.57,9.03,60.02,5.13,-0.43,5.14,28.67,0.52,28.67,-15.96,-1.61,15.96,144089.25,147101.06,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.93,5373.31,872.52,150654.97,154694.63,60485.52,241.17,83.94,2197.47,3.22,3.72,0,-0.25,-0.4,0,3.23,3.74,0,1,0.99,1,482.82,280.46,279.13,279.07,280.47,0.15,12.65,14.27,0.16
9/11/2023 16:15,0,0,0,349775.91,349803.06,27.16,18920.19,2516.56,0.43,12234.91,367410.44,367841.25,430.82,4.91,-0.43,4.93,1,346.75,186.15,6.46,60.01,6.46,-0.61,6.49,28.67,0.52,28.67,-15.96,-1.61,15.96,144090.02,147101.94,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5988.99,5373.4,872.52,150655.73,154695.5,60485.52,241.17,83.94,2197.47,2.28,2.62,0,-0.12,-0.31,0,2.29,2.64,0,1,0.99,1,481.92,279.66,278.66,278.6,279.68,0.15,8.71,10.55,0.13
9/11/2023 16:30,0,0,0,349777.66,349804.81,27.16,18920.19,2516.56,0.43,12235.06,367412.25,367843.06,430.82,10.64,-0.93,10.69,1,347.39,186.55,13.62,60.01,5.87,-0.54,5.89,28.67,0.52,28.67,-15.96,-1.61,15.96,144090.84,147102.89,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.05,5373.5,872.52,150656.56,154696.45,60485.52,241.17,83.94,2197.47,4.91,5.73,0,-0.39,-0.55,0,4.93,5.76,0,1,1,1,482.64,280.76,278.76,278.72,280.77,0.15,19.29,21.31,0.24
9/11/2023 16:45,0,0,0,349779.91,349807.06,27.16,18920.19,2516.56,0.43,12235.26,367414.5,367845.31,430.82,9.67,-0.82,9.71,1,346.87,186.24,12.28,60.02,9.89,-0.86,9.93,28.67,0.52,28.67,-15.96,-1.61,15.96,144091.88,147104.09,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.13,5373.62,872.52,150657.61,154697.67,60485.52,241.17,83.94,2197.47,4.44,5.22,0,-0.3,-0.5,0,4.45,5.24,0,1,1,1,482.34,280.24,278.71,278.66,280.25,0.15,16.97,19.55,0.23
9/11/2023 17:00,0,0,0,349781.84,349809,27.16,18920.19,2516.56,0.43,12235.43,367416.44,367847.25,430.82,4.76,-0.43,4.78,1,345.96,185.69,6.3,59.92,8.41,-0.73,8.44,28.67,0.52,28.67,-15.96,-1.61,15.96,144092.8,147105.13,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.19,5373.73,872.52,150658.5,154698.72,60485.52,241.17,83.94,2197.47,2.22,2.54,0,-0.12,-0.31,0,2.22,2.56,0,1,0.99,1,480.96,279.02,277.91,277.87,279.04,0.15,8.49,10.28,0.13
9/11/2023 17:15,0,0,0,349783.41,349810.56,27.16,18920.19,2516.56,0.43,12235.57,367418,367848.81,430.82,7.98,-0.68,8,1,346.72,186.15,10.23,60.02,5.59,-0.51,5.62,28.67,0.52,28.67,-15.96,-1.61,15.96,144093.52,147105.97,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.24,5373.82,872.52,150659.23,154699.56,60485.52,241.17,83.94,2197.47,3.69,4.28,0,-0.26,-0.42,0,3.7,4.3,0,1,1,1,481.83,279.82,278.51,278.46,279.83,0.15,14.27,16.23,0.2
9/11/2023 17:30,0,0,0,349785.06,349812.22,27.16,18920.19,2516.56,0.43,12235.73,367419.63,367850.44,430.82,6.24,-0.58,6.26,1,346.1,185.81,8.22,60.01,6.81,-0.63,6.84,28.67,0.52,28.67,-15.96,-1.61,15.96,144094.27,147106.84,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.29,5373.92,872.52,150659.98,154700.42,60485.52,241.17,83.94,2197.47,2.9,3.34,0,-0.22,-0.36,0,2.9,3.36,0,1,0.99,1,480.98,279.27,278.04,277.99,279.29,0.15,11.54,12.97,0.16
9/11/2023 17:45,0,0,0,349786.59,349813.75,27.16,18920.19,2516.56,0.43,12235.88,367421.22,367852.03,430.82,5.61,-0.58,5.64,0.99,347.2,186.4,7.54,59.99,6.54,-0.62,6.57,28.67,0.52,28.67,-15.96,-1.61,15.96,144094.98,147107.69,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.35,5374.01,872.52,150660.72,154701.27,60485.52,241.17,83.94,2197.47,2.59,3.03,0,-0.23,-0.35,0,2.6,3.05,0,1,0.99,1,482.62,280.21,278.96,278.92,280.22,0.15,10.56,11.92,0.15
9/11/2023 18:00,0,0,0,349788.84,349816,27.16,18920.19,2516.56,0.43,12236.08,367423.44,367854.25,430.82,7.14,-0.65,7.17,1,347.48,186.63,9.27,60.01,7.6,-0.71,7.64,28.67,0.52,28.67,-15.96,-1.61,15.96,144096.02,147108.88,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.43,5374.13,872.52,150661.75,154702.47,60485.52,241.17,83.94,2197.47,3.33,3.82,0,-0.23,-0.42,0,3.34,3.84,0,1,0.99,1,482.66,280.39,279.38,279.34,280.4,0.15,13.02,14.62,0.18
9/11/2023 18:15,0,0,0,349790.59,349817.75,27.16,18920.19,2516.56,0.43,12236.24,367425.22,367856.03,430.82,7.67,-0.7,7.7,1,347.67,186.71,9.86,60.01,7.94,-0.72,7.98,28.67,0.52,28.67,-15.96,-1.61,15.96,144096.83,147109.81,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.49,5374.23,872.52,150662.55,154703.42,60485.52,241.17,83.94,2197.47,3.55,4.12,0,-0.26,-0.44,0,3.56,4.14,0,1,0.99,1,483,280.63,279.4,279.34,280.64,0.15,13.77,15.62,0.19
9/11/2023 18:30,0,0,0,349792.84,349820,27.16,18920.19,2516.56,0.43,12236.44,367427.47,367858.28,430.82,9.41,-0.89,9.46,1,347.55,186.64,12.17,60.01,8.2,-0.75,8.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144097.88,147111.02,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.57,5374.35,872.52,150663.61,154704.63,60485.52,241.17,83.94,2197.47,4.4,5.02,0,-0.38,-0.51,0,4.41,5.04,0,1,0.99,1,482.86,280.51,279.28,279.23,280.54,0.15,17.47,18.8,0.23
9/11/2023 18:45,0,0,0,349795.03,349822.19,27.16,18920.19,2516.56,0.43,12236.64,367429.66,367860.47,430.82,5.72,-0.59,5.75,0.99,346.11,185.81,7.68,60.01,8.93,-0.8,8.97,28.67,0.52,28.67,-15.96,-1.61,15.96,144098.91,147112.2,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.65,5374.47,872.52,150664.63,154705.81,60485.52,241.17,83.94,2197.47,2.66,3.07,0,-0.22,-0.36,0,2.67,3.09,0,1,0.99,1,481.29,279.28,278.37,278.31,279.3,0.15,10.78,12.06,0.15
9/11/2023 19:00,0,0,0,349796.72,349823.88,27.16,18920.19,2516.56,0.43,12236.8,367431.34,367862.16,430.82,6.21,-0.6,6.24,1,346.26,185.91,8.22,60.01,7.4,-0.69,7.43,28.67,0.52,28.67,-15.96,-1.61,15.96,144099.67,147113.09,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.71,5374.57,872.52,150665.42,154706.73,60485.52,241.17,83.94,2197.47,2.88,3.32,0,-0.22,-0.38,0,2.89,3.35,0,1,0.99,1,481.14,279.24,278.39,278.33,279.26,0.15,11.54,12.96,0.16
9/11/2023 19:15,0,0,0,349798.69,349825.84,27.16,18920.19,2516.56,0.43,12236.98,367433.34,367864.16,430.82,11.06,-0.95,11.1,1,347.81,186.86,13.99,60.02,6.73,-0.64,6.76,28.67,0.52,28.67,-15.96,-1.61,15.96,144100.59,147114.17,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.5,239.2,81.58,2195.79,0.02,0.4,0.01,5989.78,5374.69,872.52,150666.34,154707.78,60485.52,241.17,83.94,2197.47,5.08,5.98,0,-0.38,-0.57,0,5.09,6.01,0,1,1,1,482.98,280.98,279.46,279.42,281.01,0.16,19.54,22.18,0.27
